Use Case ID,Use Case Name,Agency,Component,Use Case Topic Area,Other (Use Case Topic Area),Is the AI use case found in the below list of general commercial AI products and services?,What is the intended purpose and expected benefits of the AI?,Describe the AI system’s outputs.,Stage of Development,"Is the AI use case rights-impacting, safety-impacting, both, or neither?"
VA-4599,Ambulatory heart rhythm monitoring,VA,VHA: Veterans Health Administration,Health & Medical,,Searching for information using AI.,AI is used to analyze 14 days of heart rhythm to narrow down periods of abnormalities and identify such rhythms.,Its a report with various abnormalities identified and listed for the clinician to interpret and make recommendations.,Operation and Maintenance,Both
VA-4603,Insights Engine,VA,VEO: Veterans Experience Office,Mission-Enabling (internal agency support),,Summarizing the key points of a lengthy report using AI.,"The Insights Engine provides a human-language interface to query aggregate-level / anonymized customer experience and operational metrics and data in support of VA research and design initiatives. This tool leverages large language model interpretation and agents to write queries for structured and unstructured data, and articulate responses based on relevant source review or Retrieval Augmented Generation (RAG).

This tool will serve as a research librarian to empower research and design teams across the VA enterprise to identify and leverage past-relevant learnings that reduce redundant research initiatives and build on prior work and knowledge. Staff can inquire about what has been done / is known about x, y, z and receive answers in plain language.","Prior research findings, qualitative and quantitative insights.",Acquisition and/or Development,Neither
VA-4607,"Philips EPIQ Diagnostic Ultrasound System, Philips Affiniti Diagnostic Ultrasound System",VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf21/K212704.pdf).,Operation and Maintenance,Both
VA-4640,Glassbeam Clinsights ,VA,VHA: Veterans Health Administration,Health & Medical,,Identifying unusual patterns in system logs from a single incident report using AI.,"The benefits of this AI is to gather medical device data, and use machine knowledge to attempt prediction of when medical equipment may fail. ","Gathers medical device hardware information and compares the data that was gathered to determine if it is in normal range, declining, or failed to alert the technicians as soon as possible to repair/replace faulty parts before they are used in a medical procedure.",Implementation and Assessment,Both
VA-4644,VX Insights Hub Agent,VA,VEO: Veterans Experience Office,Mission-Enabling (internal agency support),,Summarizing the key points of a lengthy report using AI.,"The VX insights hub provides a human-language interface to query aggregate-level / anonymized customer experience and operational metrics and data in support of VA performance improvement and decision-making. This tool leverages large language model interpretation and agents to write queries for structured and unstructured data, and articulate responses based on relevant source review or Retrieval Augmented Generation (RAG).

This tool will empower VA staff in decision-making and performance improvement roles, who may not have a background in data science, statistics or analytics, to inquire about performance and experience and receive answers in plain language.","Natural language responses to CX and operations questions + validation information about the query that was written and run, etc.",Acquisition and/or Development,Neither
VA-4689,"OPTIS Mobile Next Imaging System, OPTIS Integrated Next Imaging System",VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210458.pdf).,Operation and Maintenance,Both
VA-4722,Automated Decision Support,VA,VBA: Veterans Benefits Administration,Government Services (includes Benefits and Service Delivery),,None of the Above,"Intake of VA Claims materials as well as other Veteran, VSO, and stakeholder submissions results in contentions which are prescribed as eligible.  The platform ingests and takes initial actions on claims and contentions (largely those impacted by the PACT Act) which include medical record retrieval, review of the VBMS eFolder, generates a summary review document, drafting or submitting contract examination requests via robotics process automation (RPA), and/or changing the claim status to Ready For Decision (RFD).  
","Utilizing prescribed machine learning and Natural Language Processing (NLP), ADS utilizes Intelligent Form Recognition (IFR), Optical Character Recognition (OCR), Intelligent Character Recognition (ICR), and NLP to extract an average of 95 fields on over 1500 form layouts within VA’s purview.  The system generates a summary review document, drafting or submitting contract examination requests via robotics process automation (RPA), and/or changing the claim status to Ready For Decision (RFD).",Operation and Maintenance,Both
VA-4726,Compliance Made Easy (CME) Cloud Optimization,VA,OIT: Office of Information & Technology,Other,"This may fall under government services, but this is directly related to supporting the office of the executive secretary with official communications.",Improving the quality of written communications using AI tools.,"The purpose is to provide automated review of official communications against the approved VA style guide, tone, and other key elements to making communications to the public effectively. The goal is to reduce the amount of time needed to create and review the documents leading to saved time and money. The benefits of using AI include more intelligent control over a rule based system, low/no code updates to the model through direct NLP prompts to update the approved style guides, leveraging machine learning to improve communications and tone over time, less reliance on human intervention to review and edit communications. ","AI outputs will include updated communications style and formatting based on the style guide, suggested language to improve tone, readability and conciseness of communications, and data based on the model running.",Initiated,Neither
VA-4730,O-arm O2 Imaging System,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf24/K240465.pdf).,Operation and Maintenance,Both
VA-4763,Mail Automation Services,VA,VBA: Veterans Benefits Administration,Government Services (includes Benefits and Service Delivery),,None of the Above,"Mail Automation Services (MAS) is a ITTT service for intake of VA Claims materials as well as other Veteran, VSO, and stakeholder submissions.  The platform ingests and reviews 25k to 40k packets of information per day, primarily derived from the Centralized Mail Portal.  Utilizing prescribed machine learning and Natural Language Processing (NLP), MAS utilizes Intelligent Form Recognition (IFR), Optical Character Recognition (OCR), Intelligent Character Recognition (ICR), and NLP to extract an average of 95 fields on over 1500 form layouts within VA’s purview.",VBA End-Product establishment and correct business line orientation for ingested submissions are the most common outcomes and outputs for the MAS platform which runs under Veterans Benefits Administration Automation Platform (VBAAP).,Operation and Maintenance,Rights-impacting
VA-4771,NeuroQuant,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf17/K170981.pdf).,Operation and Maintenance,Both
VA-4804,Master Claims Assistance Tool (M-CAT),VA,VBA: Veterans Benefits Administration,Government Services (includes Benefits and Service Delivery),,Searching for information using AI.,"Function of the system is generative AI use and derivatives to assist VA personnel. Inputs to the model include policy, procedure, and other knowledge management documents such as CFR database knowledge and user entered inquiries. ",Outputs include RAG model results from chatbot. Intended users are VA or VBA staff as directed by SES.,Acquisition and/or Development,Rights-impacting
VA-4812,MAGNETOM Vida; MAGNETOM Lumina; MAGNETOM Aera; MAGNETOM Skyra; MAGNETOM Prisma; MAGNETOM Prisma fit,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfPMN/pmn.cfm?ID=K231560).,Operation and Maintenance,Both
VA-4923,3D Quorum ,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,Mammography. AI-powered analytics - Generates 6mm 'SmartSlices' from the original high-resolution 3D data. Identifies clinically relevant regions of interest through overlapping slices (3mm) to ensure no loss of 3D data. Reduces the number of 3D images to be reviewed by the Radiologist by 2/3. ,Produces 6mm 'SmartSlices' from native 3D data to highlight clinically relevant or potentially clinically relevant regions of interest. Augments the decision making process of Board Certified or Board Eligible Radiologists. Interpreting Radiologists retain the ability to 'accept' or 'reject' the suggested outputs.,Operation and Maintenance,Both
VA-4935,INtuition-Structural Heart Module,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfPMN/pmn.cfm?ID=K191585).,Operation and Maintenance,Both
VA-4964,Intelligent 2D ,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"Mammography - Produces synthetic 2D images from 3D mammography data to improve the detection of breast lesions while reducing radiation dose. Reduces the 'noise' if the images, helping to eliminate random elements that may distort the image. Provides Interpreting Radiologists improved detection ability through reduction of artifacts that may reduce visibility of lesions - ultimately providing a clearer picture of breast tissue. FDA Approved. ",Provides synthetic 2D image to augment the Interpreting Radiologist's ability to detect breast lesions.,Operation and Maintenance,Both
VA-5005,QV CAD,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,Automated Breast Ultrasound (ABUS) solution from QView Medical. Aids Radiologists with interpreting screening procedures for women who have negative mammograms but have had a 3D breast ultrasound due to dense breast tissue. Receives input images via standard DICOM format. Native imaging from the ABUS together with the output of the QVCAD images are displayed on the viewer. QVCAD engine uses several image patter recognition processes and artificial neural networks to detect suspicious areas in the breast with the objective to distinguish potential breast lesions from normal breast tissue. ,Detects suspicious or potentially suspicious areas in the breast.  Augments the decision making process of Board Certified or Board Eligible Radiologists. Interpreting Radiologists retain the ability to 'accept' or 'reject' the suggested outputs.,Acquisition and/or Development,Both
VA-5009,FlexLine: Detect patterns and make corrective action recommendations in application and dependency time to mitigation data. ,VA,VHA: Veterans Health Administration,Mission-Enabling (internal agency support),,None of the Above,"Within the FlexLine materials management application, this AI capability would look at patterns across the time-to-mitigation data and potentially other scans for application vulnerabilities. If teams are not resolving vulnerabilities within the 30, 45, 60 day periods, then it could expose our products and degrade Veteran care. The goal would be to connect the duration to mitigate to other available data trends and recommend actions to the application teams that could help them resolve the issues faster.",Will provide detailed text data hat combines/correlates scan results for the app team and what might be causing the inability to resolve. This additional intelligence and recommended resolution(text) could be provided to the app team through automated Jira tickets to help them understand a way to resolve the issue.,Initiated,Neither
VA-5013,Medical Imaging Auto-segmentation,VA,VHA: Veterans Health Administration,Health & Medical,,Searching for information using AI.,To make the process of drawing regions of interest more efficient ,Rather than a physician manually outlining a lesion or organ such as the liver the AI system uses imaging data and anatomic atlas information to create a proposed outline that the physician can then adjust or approve for use,Operation and Maintenance,Both
VA-5017,FFRangio,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf19/K192442.pdf).,Operation and Maintenance,Both
VA-5046,Quantra ,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,Mammography. Uses multi-class support vector machine (SVM) based classification technique to segregate breast types into four categories based on breast parenchymal tissue pattern and texture representation to assist Radiologists in interpretations and reduce intra- and inter-reader variability. ,Classifies breast type. Augments the decision making process of Board Certified or Board Eligible Radiologists. Interpreting Radiologists retain the ability to 'accept' or 'reject' the suggested outputs.,Operation and Maintenance,Both
VA-5050,VSTOne – AI-Driven Patient Monitoring and Care Delivery,VA,VHA: Veterans Health Administration,Health & Medical,,Identifying unusual patterns in system logs from a single incident report using AI.,"Supporting Care Through AI

The healthcare industry is at a critical juncture due to the convergence of rising patient demands and severe staffing shortage, specially in nursing. According to the U.S Bureau of Labor Statistics projection in 2022, American hospitals will be hiring 1,100,00 registered nurse positions. In response to this challenge AI driven patient monitoring care delivery can proactively assist nurses.
The integration of artificial intelligence into healthcare presents a unique opportunity to enhance patient outcomes while supporting clinical staff in an increasingly challenging environment. With the looming shortage of nursing staff and the growing demand for patient care, there is an urgent need for technological solutions that support nurses in their roles. Today, I present VSTOne, an innovative AI solution designed to assist nurses, prevent patient falls, and improve care quality through continuous monitoring and real-time alerts.","Supporting Care Through AI VSTOne leverages advanced AI to provide comprehensive monitoring solutions that address several critical areas of patient care: • Assisting Nurses: Automated monitoring allows nurses to focus on higher-level care tasks. • Preventing Falls: The system predicts potential falls 30-65 seconds in advance, allowing timely intervention. • Preventing Pressure Ulcers: Early detection of pressure ulcer risks through continuous monitoring of patient movement. • Telemetry and Telehealth: Vitals are tracked via wearable patches, providing real-time data to clinicians, and enabling telehealth consultations.",Initiated,Both
VA-5054, Surveillance and Reporting of Suicidal Ideation Assessment in PTSD Specialty Care Clinical Notes using Natural Language Processing (NLP),VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,We endeavor to surveil and monitor nationally both the conduct and quality of suicide ideation (SI) assessment during treatment in PTSD specialty care. We hope eventually to increase the consistency and quality of SI assessment in PTSD care to enhance clinical management of suicide risk. ,"Our methods entail the use of natural language processing (NLP) of progress note documentation of treatment within the PTSD Clinical Team (PCT) specialty care clinics, to identify SI mentions, to quantify SI assessment documentation, and to classify SI mention clinical quality. We will provide reports of consistency and quality and the national, VISN, and medical center levels.",Acquisition and/or Development,Neither
VA-5058,"FastStroke, CT Perfusion 4D",VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193289.pdf).,Operation and Maintenance,Both
VA-5087,Koios,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,Used with Automated Breast Ultrasound (ABUS). Classifies breast ultrasound lesions and automates reporting for improved efficiency and streamlined workflows. Increased sensitivity and specificity with reduced variability. Reduces unnecessary treatments (existing BI-RADS 3's can be accurately and safely downgraded) and provides probability of malignancy aligned to BI-RADS categorization. ,Classifies breast ultrasound lesions. Augments the decision making process of Board Certified or Board Eligible Radiologists. Interpreting Radiologists retain the ability to 'accept' or 'reject' the suggested outputs.,Acquisition and/or Development,Both
VA-5095,Evaluation of Autonomous Assistive Feeding System in Spinal Cord Injury Patients,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"The AI use is to improve autonomous bite acquisition by robotic arm as well as to improve transfer to the participant's mouth.  Inputs include video analysis of caretakers administering/transferring bite to participants, as well as a web interface where feedback from stakeholders will be collected to improve the robotic arm's actions and to provide additional contextual information for bite acquisition and transfer.  This information will be used by the AI to improve the robotic arms autonomous functions of bite acquisition and transfer.

The ultimate goal of the robotic arm function is to provide autonomous or semi-autonomous support to improve functional independence for patients with upper extremity weakness from spinal cord injury or other causes."," Inputs and Outputs: Our experimental setup will consist of bite acquisition trials under two settings. In the autonomous setting, the robot will acquire the food autonomously. In the shared autonomy setting, the robot may acquire the food autonomously, but during certain times, may query the end-user or an expert research assistant based on its confidence about its manipulation actions and use their feedback to complete the bite acquisition process. For both the settings, the robot will use our online learning framework to design its behaviors. In the shared autonomy setting, we will develop an accessible web interface that the stakeholders can use to provide feedback on what actions to use or what additional contexts may be useful for bite-acquisition",Acquisition and/or Development,Safety-impacting
VA-5136,Using AI to read PDFs and parse the information to SharePoint list,VA,VHA: Veterans Health Administration,Health & Medical,,Inputting large amounts of data from paper forms into a digital system using AI.,"The AI will read PDFs from the TPA, and parse the data into a sharepoint list, reducing the employees processing time by 20%","SharePoint, and will be used in Power BI.",Initiated,Neither
VA-5140,Discovery MI Gen2,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf21/K211846.pdf).,Operation and Maintenance,Both
VA-5169,Genius AI,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,Mammography. Assists the Radiologist in locating lesions likely representing breast cancer by searching each slice of the tomosynthesis image set. Lesions are marked on the appropriate slices that can be overlaid on a synthesized 2D image and on 3DQuorum SmartSlices. These 2D overlays augment Radiologists by providing an overview image with suspicious areas indicated with quick navigation to the tomosynthesis slice that the mark was originally identified on. ,Lesions are marked on identified imaging slices with reference back to corresponding tomosynthesis slice.,Operation and Maintenance,Both
VA-5173,Implementation of a Severe COVID-19 Risk Prediction Tool,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"The project seeks to implement a Severe COVID-19 Risk Prediction Tool to effectively identify Veterans at higher risk of developing severe COVID-19 symptoms through a machine-learning model to address one of the key barriers to increased vaccination offerings identified, i.e., the lack of tools for assessing risk of severe disease progression and potential vaccination benefit. It is expected by facilitating the estimated risk for severe COVID-19 progression, as well as a patient's current vaccine eligibility, that these patients can be outreached to and offered the vaccine in a more timely manner to improve vaccination rates and ultimately health outcomes.","The model will output a relative risk score for currently hospitalized patients based on their COVID-19 progression severity risk, and will generate a task notification to clinical teams to notify them of patients within that cohort output who also currently meet eligibility for receiving the COVID vaccine based on CDC guidelines (i.e. no recent history of already receiving vaccine, or recent COVID-19 infection).",Acquisition and/or Development,Both
VA-5181,CVI42,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf14/K141480.pdf).,Operation and Maintenance,Both
VA-5214,Discharge Predictive Model,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"Implementation of a predictive model that can identify acute inpatients likely to discharge within 24 hours can facilitate communication across clinical and ancillary staff teams who are otherwise currently reliant on a manual process that requires clinical teams to enter a Pre-Discharge order, a process which can be inconsistent due to trainee turnover. The expectation of this project is increased awareness and communication of the hospital's anticipated aggregate discharge volume resulting in potentially improved visibility on hospital throughput for bed coordination, including improved capability and flexibility to accommodate additional hospital admissions and transfers.",The model estimates the overall clinical readiness of inpatient patients using fundamental parameters including vital signs and lab result trends and then produces an output that aggregates the total anticipated number of patients across the facility that would be expected to be ready for discharge within 24 hours based on basic clinical criteria.,Acquisition and/or Development,Neither
VA-5218,HSRD IIR 19-069 Optimizing Renin Angiotensin System Blocker Use among Veterans with Kidney Disease,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"Intended purpose: clinical summarization of narrative clinical notes within the electronic health records among patients with CKD to give providers a summary of relevant terms (side effects, adverse events) noted in those notes (exact phrase matches, pointer to document) along with medication and chronic condition information (not using AI) delivered to primary care providers before a clinic encounter to assist in clinical decision making.","Narrative note that goes into the patient's record with the PCP as an additional signer with a summary of why they qualify for the clinical summarization (CKD), when the ACE/ARB was stopped, documentation of notes and phrases/sentences that are relevant to decision making (exact text from note).",Implementation and Assessment,Neither
VA-5222,CT CoPilot,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf16/K161322.pdf).,Operation and Maintenance,Both
VA-5263,"Cranial Navigation, Navigation Software Cranial, Navigation Software Craniofacial, Cranial EM System, Automatic Registration iMRI",VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf22/K223288.pdf).,Operation and Maintenance,Both
VA-5333,Aquilion ONE (TSX-305A/6) V8.9 With AiCE,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,AI Deep Learning CT Reconstruction,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf18/K183046.pdf).,Implementation and Assessment,Both
VA-5427,CellaVision DM1200 with the body fluid application,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf10/K102778.pdf).,Operation and Maintenance,Both
VA-5464,Nediser reports QA,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"Nediser is a continuously trained artificial intelligence “radiology resident” that assists radiologists in drafting their reports. Using computer vision/ML, Nediser selects normal templates (for example, the knee, shoulder joint), detects absence or presence of hardware in the image, evaluate patella alignment and leg length and angle discrepancy, measure Cobb angles, and evaluate hip exams for osteoarthritis. The output is directed to a QC field in the report that the Radiologist may use. The output helps standardize reports and improve accuracy of reporting.","The system classifies arthritis grade and performs measurements which are output to a QC field in dictation software as a draft that the Radiologist may or may not incorporate into their report templates. This is similar to a Radiology resident who provides draft reports that the Attending Radiologist reviews. The system can also detect objects and landmarks to assist in making measurements and identify abnormality. The output are landmark annotations and measurements. However, these outputs are not sent to the production PACS. They are stored in a secure directory which the Radiologists can refer to and do not become part of the medical record. All original production DICOM images are deleted after processing. Nediser saves de-identified JPG images and reports (no PHI) for audit and review of system performance, and to further train the model is necessary.",Operation and Maintenance,Both
VA-5468,"CARTO 3 EP Navigation System Software V8.0 (FG-5400-00, FG-5400-00U)",VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf23/K231207.pdf).,Operation and Maintenance,Both
VA-5501,Care Assessment Needs (CAN) Score,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,CAN is a set of risk-stratifying logistic regression models run on Veterans receiving health care through VHA.,90-day hospitalization or 90-day death,Operation and Maintenance,Both
VA-5509,Cartesion Prime (PCD-1000A/3) V10.15,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf23/K231748.pdf).,Operation and Maintenance,Both
VA-5542,VA CART Percutaneous Coronary Intervention SYNTAX Score ,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,The VA CART SYNTAX risk model predicts 30-day post-PCI mortality using a combination of clinical and anatomic variables. The model is available to facilitate personalized informed consent discussions and appropriate preparation for high-risk PCI cases.,"The calculated score indicates a risk of major adverse cardiovascular events (death, MI, stroke, and repeat revascularization) over time.",Operation and Maintenance,Both
VA-5550,Cardiac CT Function Software Application,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241038.pdf).,Operation and Maintenance,Both
VA-5579,Falls Prediction Tool,VA,VHA: Veterans Health Administration,Government Services (includes Benefits and Service Delivery),,None of the Above,"Background: Pact Act Co-Pay exemption determination is currently a manual process, and some veterans may not know if they had toxic exposure and may be eligible for co-pay exemption.
Objective: Develop an algorithm for the PACT Act to predict if patients are eligible for co-pay exemption.
",Automatically generate a binary output that indicates whether a veteran is eligible for Pact Act Co-Pay exemption.,Acquisition and/or Development,Safety-impacting
VA-5583,VA CART Percutaneous Coronary Intervention Mortality Model ,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,The VA CART mortality risk model is based on logistic regression using baseline clinical and procedural variables to predict post-PCI 30-day mortality. The model is available to facilitate risk stratification at the point of care., Post-PCI 30-day mortality,Operation and Maintenance,Both
VA-5620,Pact Act Co-Pay Exemption Prediction Tool,VA,VHA: Veterans Health Administration,Government Services (includes Benefits and Service Delivery),,None of the Above,"Background: Pact Act Co-Pay exemption determination is currently a manual process, and some veterans may not know if they had toxic exposure and may be eligible for co-pay exemption.
Objective: Develop an algorithm for the PACT Act to predict if patients are eligible for co-pay exemption.",Automatically generate a binary output that indicates whether a veteran is eligible for Pact Act Co-Pay exemption.,Acquisition and/or Development,Rights-impacting
VA-5624,VA CART Percutaneous Coronary Intervention Nephropathy Model ,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,The VA CART nephropathy risk model is based on logistic regression using baseline clinical and procedural variables to predict. The model is available to facilitate risk stratification at the point of care.,Post-PCI acute kidney injury,Operation and Maintenance,Both
VA-5628,Purchase Order Filing,VA,VHA: Veterans Health Administration,Mission-Enabling (internal agency support),,Digitizing text from scanned documents or smart forms for archival purposes using AI.,"We use Microsoft Power Automate's AI builder to file our purchase orders on Sharepoint, as well as documents connected with them (invoices, returns, amendments, packing slips, etc). This saves staff time and makes it easy to respond to audits because all of the required documents are in 1 place with a consistent naming convention.","The AI puts the document into a PDF on Sharepoint and names it according to the Purchase Order Number and document type (538Q407568Amendment1, for example). The AI makes a folder for each PO number and all documents connected to that PO number go in the same folder.",Operation and Maintenance,Neither
VA-5632,"Brainlab Elements Image Fusion, Contouring (4.5);Image Fusion (4.5);Fibertracking (2.0);BOLD MRI Mapping (1.0);Image Fusion Angio (1.0)",VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf22/K223106.pdf).,Operation and Maintenance,Both
VA-5665,VA CART Myocardial Ischemia NLP,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,Extracts myocardial ischemia information in VistA using Natural Language Processing (NLP) of Radiology report. ,"Results of the NLP contain 0 indicating negative stress test result, 1 indicating positive stress test result, and -1 indicating inconclusive stress test result.",Operation and Maintenance,Neither
VA-5706,VA CART Ejection Fraction NLP,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,Extracts ejection fraction (EF) information in VistA using Natural Language Processing (NLP) of Echocardiogram TIU report text,"Results of the NLP are separated by EF determination method including Human Observation, Biplane, 4-Chamber, and 2-Chamber, with the Best EF Value following that hierarchy in order.  A NULL Best EF Value indicates that the LLM did not find an ejection fraction in the text.",Acquisition and/or Development,Neither
VA-5714,BioPlex 2200 ANA Screen with Medical Decision Support Software for Use with BioPlex 2200 Multi-Analyte Detection System,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf4/K043341.pdf).,Operation and Maintenance,Both
VA-5788,VA CART Percutaneous Coronary Intervention Bleeding Risk Model,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,The VA CART bleeding risk model is based on logistic regression using baseline clinical and procedural variables to predict post-PCI in-hospital bleeding events. The model is available to facilitate risk stratification at the point of care.,Post Percutaneous Coronary Intervention bleed prior to hospital discharge,Operation and Maintenance,Both
VA-5796,"Biograph Vision, Biograph MCT Family Of PET/CTs",VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193248.pdf).,Operation and Maintenance,Both
VA-5825,Rythm Express,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,Predict potassium levels from ECG.,Potassium levels from ECG evaluation.,Acquisition and/or Development,Neither
VA-5837,AutoContour Model RADAC V3,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf23/K230685.pdf).,Operation and Maintenance,Both
VA-5874,A computer vision framework (CVF) for the image classification in the Veteran Health Administration (VHA),VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"Intended purpose: To develop a computer vision framework (CVF) to classify medical test images in the VHA.
Benefits: Disease related decision generation from the medical test image.","The CVF can provide a decision for the given image (e.g., the patient has a disease or not).",Acquisition and/or Development,Safety-impacting
VA-5903,Github Copilot,VA,OIT: Office of Information & Technology,Mission-Enabling (internal agency support),,Collaborating in real-time using AI-assisted tools in word processors.,"The intended purpose of GitHub Copilot is to assist developers by providing intelligent code suggestions and completions, thereby enhancing their productivity and efficiency.

Increased Productivity: By suggesting code snippets and completions, Copilot reduces the amount of time developers spend writing boilerplate code and looking up syntax or API usage.
Improved Code Quality: Copilot can suggest best practices and common patterns, helping developers write more robust and maintainable code.
Learning Aid: It serves as a learning tool for developers by providing examples and explanations of how to implement certain functionalities.
Reduced Cognitive Load: By handling repetitive coding tasks, Copilot allows developers to focus more on the logic and design of their applications.
Faster Prototyping: Developers can quickly generate code for new features or prototypes, accelerating the development process.
Overall, GitHub Copilot aims to streamline the coding process, making it faster and more efficient for developers to build high-quality software.","The AI system's outputs in this context would be:  Code Suggestions: The AI might suggest alternative ways to securely handle sensitive information like the master_key. For example, it could recommend using environment variables or secret management services instead of hardcoding the key. Security Warnings: The AI could provide warnings about potential security risks, such as the exposure of sensitive information in the code. Best Practices: The AI might suggest best practices for managing configuration settings, such as using a configuration file or a dedicated secrets management tool. Documentation: The AI could generate comments or documentation strings explaining the purpose of the master_key and how it should be used securely.",Initiated,Neither
VA-5919,aPROMISE X,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220590.pdf).,Operation and Maintenance,Both
