2_use_case_name,summary_text
Document Review Tool,"The Document Review Tool is designed to aid investigations by providing support for reviewing key documents. It streamlines the process of analyzing essential information, enhancing the overall efficiency of investigations."
Anomaly Detection for Data Quality,"The project involves creating an anomaly detection model to identify erroneous data loads in TCR data. It employs an isolation forest model that operates automatically on a daily basis, generating an anomaly score for the complete dataset of a single exchange."
Spoofing Detection AI/ML Project,"The Spoofing Detection AI/ML project utilized advanced AI and machine learning techniques to analyze order message data for identifying spoofing patterns. It combined various supervised and unsupervised methods with existing expert-based spoofing detection algorithms, resulting in a model that estimates the probability of spoofing behavior for each trader in a given market on a specific day."
Stress Testing Scenarios with Deep Learning,The project focuses on employing deep learning techniques to develop stress testing scenarios for Futures and Options portfolios. It utilizes neural networks to estimate profit and loss by predicting price movements based on current and recent market conditions. The AI generates these predictions using specified input probabilities.
MPD Entity Risk Modeling,"The MPD Entity Risk Modeling project aims to develop statistical and probabilistic models to predict capital level changes for firms. This early-stage R&D effort will generate a daily now-cast score for each registrant, indicating the probability or risk category for potential near-future capital adjustments."
Microsoft Copilot Integration,"The Microsoft Copilot Integration project aims to enhance efficiency and streamline administrative tasks through the use of text-based summaries and AI-generated content. By leveraging advanced AI capabilities, it focuses on automating routine processes to save time and improve productivity."
Clearinghouse Network ,"The Clearinghouse Network is a collection of exclusive online communities designed for state and local election officials, hosted on the Roundtable platform. It features AI tools that summarize lengthy text and video content to assist election officials in accessing and understanding relevant information efficiently."
Language Translation,"This project focuses on enhancing language translation services by improving the quality, efficiency, and accessibility of these services. It incorporates advancements in text-to-speech and speech-to-text technologies to streamline communication in multiple languages. The overall goal is to facilitate better understanding and interaction in diverse linguistic settings."
Reasonable Accommodation,"The Reasonable Accommodation project aims to enhance the quality, efficiency, and accessibility of services through the implementation of text-to-speech and speech-to-text technologies. By integrating these tools, the project seeks to better support individuals with varying communication needs. Ultimately, it focuses on fostering inclusive environments for improved service delivery."
Virtual Assistants,"The Virtual Assistants project aims to enhance the quality, efficiency, and accessibility of services through advanced text-to-speech and speech-to-text technologies. By leveraging these capabilities, the project seeks to improve user interactions and streamline communication. The focus is on delivering a more effective and user-friendly experience across various applications."
Employee Training and Professional Development,"The project focuses on enhancing employee training and professional development to improve the quality, efficiency, and accessibility of services. It aims to foster a skilled workforce capable of adapting to evolving industry demands. Ultimately, this initiative seeks to generate better overall service outcomes."
Legal Research & Discovery,"The project focuses on enhancing the quality, efficiency, and accessibility of legal research and discovery services. It aims to generate pertinent legal information that supports enforcement actions and litigation processes."
Records Management,"The Records Management project focuses on ensuring the integrity of electronic data by implementing systematic processes for creating, organizing, indexing, and accessing digital documents. It prioritizes compliance with established standards for effective data management."
FOIA,"The project aims to enhance the Freedom of Information Act (FOIA) process by developing a system for the generation, categorization, and classification of public comments based on priority or topic. This improvement will streamline the handling of policy and legal comments, facilitating more efficient responses and better organization of information."
Cybersecurity,The project focuses on enhancing cybersecurity practices by identifying and classifying anomalies within systems. It aims to improve threat detection and response mechanisms to safeguard data integrity and protect against cyber threats.
Invoice and Contract Data Extraction,"The project focuses on extracting data from invoices and contracts in PDF format to enhance the accuracy and efficiency of reconciliation processes. It aims to reduce the time Oversight Managers (OMs) spend on these tasks by generating an Excel output that highlights discrepancies and errors, which is then emailed to them. This automation improves overall operational efficiency in managing financial documents."
Server Failure Prediction,"The Server Failure Prediction project aims to use predictive intelligence to identify servers at risk of failure, thereby preventing work stoppages for the FDIC. It employs natural language processing to automatically generate help desk tickets for these at-risk servers. The project will produce a list of servers predicted to fail and corresponding system-generated help desk tickets."
Plain Language Policy Assistant,"The Plain Language Policy Assistant is an AI tool designed to help FDIC policy writers comply with the Plain Language Writing Act. It evaluates drafts for clarity, simplicity, active voice, conciseness, and the use of jargon and acronyms, offering feedback and redrafting sections to align with PLWA principles."
Knowledge Article Generation,"The Knowledge Article Generation project aims to automate the creation of draft Knowledge Articles following server outage incidents, thereby saving staff time and improving service efficiency. This initiative will enable the Infrastructure Operations Systems Branch (IOSB) to leverage self-service solutions, reduce support caseloads, and decrease average handle times for server-related issues. Ultimately, the project enhances the overall service experience by allowing IOSB team members to access valuable information around the clock."
AI Coding Assistant,"The AI Coding Assistant is designed to improve coding efficiency and precision by providing real-time code suggestions, generating unit tests, debugging code, and translating code between languages. It also offers explanations and comments to clarify code functionality. This tool aims to streamline the coding process for developers."
Content Creation,"The project focuses on creating generative content to reduce the time needed for content creation and increase the overall volume of materials available. It aims to provide interactive resources that assist students who struggle with note-taking and classroom engagement, ultimately enhancing their learning experience."
Immersive Learning,"Immersive learning utilizes Generative AI to create realistic training environments, allowing learners to practice and improve their skills in controlled, interactive scenarios. This innovative approach enhances employee engagement, retention, performance management, and various HR processes such as onboarding and recruiting. Additionally, it provides predictive analytics on learner progress and completion rates relative to set objectives."
Course Recommendation ,"The project aims to develop a course recommendation system that suggests personalized learning paths based on employees' historical data and needs. This system is designed to enhance employee engagement, retention, performance management, and onboarding by providing industry-specific training recommendations. Ultimately, it supports workforce planning and facilitates achievement of learning and development milestones."
Student Monitoring ,"The Student Monitoring project aims to enhance course engagement and success by tracking progress and comprehension. It utilizes predictive analytics to adapt learning experiences for individuals, offering insights on completion rates and course milestones. The initiative also supports performance management and employee onboarding through continuous learning and development."
Plagiarism Detection ,"The project focuses on detecting and preventing plagiarism to promote the FDIC's values of fairness, accountability, and integrity. It aims to reduce the time spent on manual plagiarism inspections by providing automated reports that flag suspected instances of plagiarism along with their sources."
Student Outcome Projection ,"The Student Outcome Projection project focuses on early intervention in student academic growth by accommodating diverse learning styles and levels, thereby personalizing the educational experience. It aims to improve employee onboarding and retention through tailored learning and development programs that align with industry-specific tasks, leading to customized training reports for each user."
Facilitating Status ,"The project involves overseeing activities and conducting evaluations in both supervised and unsupervised settings to ensure compliance with industry standards and facilitate the accreditation of Corporate University courses, such as Accounting Continuing Education Units (CEUs). It includes generating reports to confirm physical attendance for both in-person and virtual sessions."
AI Assisted Data Collection,"The AI Assisted Data Collection project automates the extraction of data from PDF form documents to improve the efficiency of fair lending and compliance functions. This automation significantly reduces the time required for data collection, enhances accuracy, and enables FDIC examiners to concentrate on examination activities. The extracted data is provided in Excel-readable formats for easier analysis and accessibility."
AI Assisted Time Management,The AI Assisted Time Management project aims to enhance the efficiencies of Process HQ by utilizing the FOCUS framework to analyze the Examination process. It will generate a report detailing time allocation and pinpoint specific bottlenecks that hinder progress in compliance and CRA activities.
Compliance Risk Monitoring,"The Compliance Risk Monitoring project aims to improve off-site risk monitoring across various regulatory areas. It includes a report from Division of Consumer Protection (DCP) Analytics that assesses the relative compliance violation risk of financial institutions, which examiners utilize to define the scope of their examinations."
Analysis of Consumer Complaints,"The project focuses on analyzing consumer complaint trends by utilizing AI for pre-processing complaints to improve their adjudication. It involves cleaning and categorizing consumer complaints, which are then stored in a data lake for further post-processing analysis. This approach aims to enhance the efficiency of understanding consumer issues and deriving actionable insights."
Pre-Examination Planning Monitoring,"The Pre-Examination Planning Monitoring project focuses on assisting examiners in effectively planning for exams by identifying misaligned pre-exam questions that do not contribute to risk assessments. It involves generating a report from the Division of Consumer Protection Analytics to the DCP Compliance and UDAP section, ensuring that pre-exam questions align with risk identification objectives."
Einstein Call Center Assistance,"The Einstein Call Center Assistance project aims to enhance the categorization and routing of consumer cases within the Epic system for Enterprise Public Inquiries and Complaints. This improvement will enable call agents to handle cases more effectively and efficiently by ensuring better tagging and organization of calls. Overall, the project seeks to streamline the call center operations and improve customer service."
HMDA (Home Mortgage Disclosure Act) Outlier Screen,"The HMDA Outlier program analyzes off-site mortgage data to detect potential fair lending risks concerning pricing, underwriting, and redlining. It generates reports from statistical analyses to assist in examination supervisory actions."
FDIC Deposit Insurance Misrepresentation ,The Division of Consumer Protection Analytics is utilizing AI technology to analyze social media posts for potential misrepresentations of FDIC deposit insurance. The project aims to compile a spreadsheet report that highlights specific posts related to banks and their associated deposit insurance claims. This initiative seeks to enhance consumer awareness and protect against misinformation.
Aggregating Complaint Data,The DCP Exams aims to enhance the efficiency of analyzing complaint data to better identify trends and concerns within complex banks. The project will focus on developing methods for aggregating this data to facilitate clearer insights and decision-making. Further details regarding implementation are to be determined.
Financial Well-Being Project,"The Financial Well-Being Project created the first comprehensive census of non-profit organizations offering various financial well-being services. This initiative supports the FDIC's goal of enhancing economic inclusion by facilitating better connections between banks and local non-profits that provide essential financial services. Additionally, the project includes a classification system for the types of financial well-being services offered by these organizations."
Generative Artificial Intelligence (AI) for Legal Research,"The project focuses on implementing generative artificial intelligence to enhance legal research capabilities, enabling users to obtain information more quickly and efficiently. It aims to improve the research process for attorneys by integrating commercially available legal research tools equipped with generative AI features. This development aligns with the mission of providing superior research support to users in the legal field."
Outlook Unstructured Text Extraction ,The Corporate Services Branch (CSB) is conducting a pilot project to test the extraction of unstructured text from emails in group mailboxes using a custom AI prompt. This initiative aims to condition the extracted data for reporting and tracking Key Performance Measures. The project will also assess the feasibility of automating this process and provide training for CSB Citizen Developers.
Public-Facing ChatBot,The Public-Facing ChatBot is an initiative by the Enterprise Information and Records Management Section (EIRMS) aimed at reducing inquiries to the FDIC Contact Center. It will utilize the RASA open-source platform and Natural Language Processing (NLP) to deliver standardized responses regarding deposit insurance and coverage. The project is currently pending a vendor platform to implement the chatbot technology in a government cloud environment.
Purchase Card Activity Monitoring,"The Purchase Card Activity Monitoring project aims to automate the detection of prohibited and restricted purchase card transactions using a Machine Learning (M/L) algorithm, reducing the manual effort currently required. It will involve creating a training and test dataset from actual purchase card activity to establish the algorithm's accuracy, which will then be visualized in a dashboard or report. The M/L system will generate data extracts highlighting non-compliant purchase card activity across the FDIC."
AI-driven Workflow Automations to Improve Business Operations,"The project focuses on leveraging AI-driven workflow automation to enhance business operations, specifically within Human Resources. It involves collaborating with vendor software to integrate various AI capabilities, such as generative AI and intelligent chatbots. The expected outcomes include decision trees that provide real-time insights and aid in identifying trends to boost performance."
Automatically-Scored Writing Assessment (AWA),"The Automatically-Scored Writing Assessment (AWA) is designed to enhance the efficiency and affordability of essay scoring in employment decisions. It provides a total score on a scale from 1 to 5, along with three subscale scores that evaluate grammar and mechanics, analysis and reasoning, and organization and structure."
Structured Interview (SI) tool,"The FDIC is developing an online Structured Interview (SI) tool to enhance the personnel selection process through automation. This tool will manage the scheduling, creation, administration, scoring, and maintenance of structured interview materials while securely storing a vast array of internally developed, competency-based interview questions."
FDIC Predictive Budget Analysis,"The FDIC Predictive Budget Analysis project involves analyzing budget data to compare reported figures with actuals, helping to identify discrepancies. This process streamlines report generation, enhances responsiveness, and facilitates in-depth data exploration. The final output provides detailed explanations of the identified gaps in data and the reasons for these discrepancies."
CFOO Assessment Chatbot,"The CFOO Assessment Chatbot compiles data from the FDIC website and specific documents to provide users with searchable and accessible information regarding Bank Assessments. It offers text-based responses to inquiries, enhancing public access to relevant data about bank assessments available on the FDIC.gov site."
Goals and Workload Assumptions,"The project aims to compile and narrate divisional efforts, factoring in staff numbers and competencies, to enhance response times for data-driven inquiries. It will include a visualization to assess the effectiveness of divisional projects and provide recommendations to address any gaps in missing elements or competencies."
CFOO Admin Chatbot,"The CFOO Admin Chatbot aggregates information from the internal FDIC website and relevant documents to provide users with text-based answers regarding CFOO administration. This project enhances public access to information, making it more searchable and user-friendly."
CFOO Travel Chatbot,"The CFOO Travel Chatbot leverages data from the internal FDIC website and relevant documents to provide users with quick, searchable answers about FDIC travel inquiries. It enhances accessibility and readability of travel information for users."
CFOO Transactional Data Analysis,"The CFOO Transactional Data Analysis project utilizes AI to enhance financial monitoring by identifying issues such as improper invoice submissions and duplicate payments. This initiative has significantly decreased the time needed for error detection, reviews, and the creation of data visualizations. It also provides recommendations for addressing identified gaps, including explanations and potential causes."
FDIC Staffing Model,"The FDIC Staffing Model focuses on monitoring retention rates, retirement planning, and knowledge retention to improve succession strategies. It aims to reduce response times for inquiries, enabling staff to concentrate on essential mission-driven tasks. Additionally, it offers predictions on future staffing needs and recommendations for achieving diverse organizational goals."
FDIC Financial Audit Report,"The FDIC Financial Audit Report involves monitoring employee transactions to ensure compliance with regulations and policies. The initiative aims to reduce the time required to obtain responses, enabling employees to concentrate on more critical mission-driven tasks. Additionally, the report identifies inconsistencies with outside policies and makes recommendations on whether emerging trends require attention."
Risk Identification and Response,"The project focuses on applying a risk model to identify risks and analyze them using additional data sets to uncover correlations. The goal is to enhance the corporation's ability to quickly and accurately assess and report on risks, ultimately reducing overall risk exposure. The outcome will include recommendations based on identified correlations and a report detailing potential solutions."
FDIC Narrative Reports Generation,"The FDIC project involves analyzing quarterly narrative and table data to produce internal narrative reports. This initiative streamlines the reporting process, significantly reducing response times and enabling staff to concentrate on essential mission-driven activities. The outcome includes a report or table summarizing the quarterly data points, enhanced with visualizations for clarity."
FDIC Investment Portfolio Management ,"The FDIC Investment Portfolio Management project involves analyzing historical investment data and conducting predictive analyses to enhance investment decision-making. The initiative aims to decrease response times for investment inquiries, enabling staff to concentrate on more essential mission-driven tasks while providing an additional layer of investment analysis for comparison. Additionally, it offers predictions on the likely outcomes of potential investment choices and recommendations for optimizing the current portfolio."
Analytics on Loan Data,"The project focuses on analyzing a portfolio of failed bank loans to streamline the process, which is typically time-consuming and labor-intensive. It involves formatting unstructured data into a structured dataset, providing data-supported strategies for effective portfolio disposition."
Analytics on Securities Data,"The project focuses on analyzing securities data to streamline the evaluation of failed bank loan portfolios, significantly reducing the time and labor involved in this complex process. It involves formatting unstructured data into a structured dataset, which facilitates the development of data-driven strategies for effectively managing and disposing of the portfolios."
Business Data Extraction from Loan Files,"The project involves extracting and formatting data from unstructured loan documents into a structured format, optimizing this process to reduce costs and effort. This enables efficient analysis of failed bank loans, leading to data-supported strategies for managing the portfolio. Ultimately, it produces a structured dataset from previously unstructured files."
Data Extraction from Security Prospectus,"The project focuses on transforming unstructured data from security prospectus documents into a structured format efficiently and at scale, resulting in reduced costs and efforts. This process enhances the analysis of failed bank loans and facilitates data-driven strategies for managing the portfolio. A formatted dataset containing essential elements extracted from the original documents will be produced."
Deposit Insurance Determination,"The Deposit Insurance Determination project focuses on extracting and formatting data from unstructured documents to streamline the management of provisional holds on bank accounts exceeding $250 million. This initiative aims to reduce the costs and efforts involved in releasing or retaining these holds, while providing structured data sets for analysis by Claims Specialists."
Initial Deposit File Analysis,The Initial Deposit File Analysis project involves evaluating various data files in different formats to extract and normalize key input data into a cohesive dataset. This dataset will include a list of accounts and assets with essential data elements necessary for insurance determination and asset valuation for analysis by other functional areas within the FDIC.
Owned Real Estate (ORE) Property Appraisal,"The Owned Real Estate (ORE) Property Appraisal project focuses on validating and enriching loan data by extracting information from Loan Underwriting, Title, and Property Appraisal Documents. This process aims to expedite the valuation of loan portfolios and enhance valuation quality. Additionally, it generates a comprehensive list of property records that includes current and historical appraised values along with sale transaction details."
Trust Document Entity Extraction,"The Trust Document Entity Extraction project focuses on extracting key elements, such as grantor/settler and beneficiaries, from Trust Agreements to decrease the time and cost associated with transcribing this information. The extracted data, combined with the original Trust Agreement, will be made accessible to users via an application user interface."
Trust Document Entity Extraction - LLM,"The Trust Document Entity Extraction project aims to automate the review process for monetary claims related to Trust Accounts, significantly reducing processing time. It utilizes a Gen AI-powered function to extract and validate data from Trust Documents against customer inputs, minimizing the need for manual intervention and legal reviews. The extracted information, along with the original Trust Agreement, will be accessible through a user-friendly application interface."
Post Examination Survey Comment Analysis,"The Post Examination Survey Comment Analysis project aims to categorize a diverse range of comments from survey participants to improve comprehension and analysis of their feedback. The approach may involve organizing entire comments or segments of them into a structured format, potentially utilizing a table with comments in one column and corresponding categories in the rows. This systematic classification will facilitate better understanding of the survey results."
Extracting IT information,"The AlphaREx algorithm performs horizontal analysis of unstructured narrative content in IT examination workpapers and Reports of Examination (ROE), providing actionable insights to support the FDIC’s supervision modernization initiative. It automates the collection, analysis, and visualization of both structured and unstructured data from various sources to identify IT and cyber risks for insured deposit institutions. This information is essential for trend analysis, pattern recognition, and improving FDIC IT examination processes."
Transcribing Structured Interviews,"RMS Atlanta is initiating a pilot project to implement transcription technology for structured interviews, enabling panel members to focus on the applicant rather than note-taking. The goal is to enhance the interview process by allowing easy access to recorded structured answers while AI assists rather than replaces traditional note-taking methods. The end product will be a transcription of the interview audio."
New Offsite Models,"The New Offsite Models project focuses on developing a machine learning model to predict banks that are likely to be downgraded from 1- and 2-rated to 3-rated or worse. The initiative aims to enhance the accuracy of bank downgrade predictions by utilizing advanced ML techniques, resulting in a ranked list of banks based on their likelihood of receiving a downgrade."
Document Indexing,"The Regional Automated Document Distribution and Imaging System (RADD) is an electronic document management system that facilitates the indexing of supervisory correspondences between the FDIC, financial institutions, and other regulators. Currently, indexing is a manual process conducted by approximately 24 individuals, using a table-driven schema to ensure accurate indexing of nearly two million documents. The project aims to implement AI/ML technologies to automate and enhance the indexing process, thereby reducing labor costs and improving the accuracy of document classification."
eDiscovery Organize & Search,"The eDiscovery Organize & Search project utilizes commercially available software to manage the vast amounts of electronically stored information by employing machine learning techniques. This AI-driven software organizes and identifies relevant documents from large datasets based on user-defined searches, while human users are tasked with verifying the AI's suggestions. This approach streamlines the eDiscovery process, making it more efficient and manageable."
Leverage AI in the Rulemaking Process Use Case ,"The AI solution aims to enhance the efficiency and accuracy of FERC's rulemaking process by automating the review of public feedback. It will analyze sentiment and identify key themes, enabling FERC analysts to save costs, reduce regulatory timelines, and implement energy policies more effectively for the benefit of the industry and the public."
Improve Safety Inspections Use Case ,"The AI solution aims to improve the safety inspections of dams and LNG pipeline structures conducted by FERC inspectors by analyzing historical and real-time visual data. It enhances both the efficiency and accuracy of inspections, identifying potential safety defects and trends while reducing the manual workload for inspectors. This innovative approach is set to streamline inspection timelines significantly."
Enhance Market Surveillance and Fraud Detection Use Case ,"The AI solution is designed to enhance market surveillance and fraud detection by analyzing large and complex datasets for market integrity and compliance. It processes trading data swiftly to identify anomalies and potential regulatory violations, thereby supporting staff in maintaining fair markets and improving compliance. This tool aims to save time, increase efficiency, and uphold public trust in market operations."
Support Interconnection Request Responses Use Case ,"The AI solution aims to streamline the processing of project interconnection requests, significantly reducing the average three-year wait time. By addressing the backlog of requests, the system will enable FERC to achieve cost savings and enhance efficiency in proposal management. The use of AI will facilitate thorough analysis of interconnection requests, optimizing response times."
LexisNexis,LexisNexis has developed a generative AI-assisted legal research tool that enhances the efficiency of legal work for the Federal Housing Finance Agency (FHFA) by streamlining the search for and summarization of legal information. This advanced technology aims to improve the accuracy and speed of legal research tasks.
Neural Networks for FHFA Modeling Analytics Platform (FMAP),"The FHFA Modeling Analytics Platform (FMAP) project aims to enhance the production framework and specifications for the Single-Family FMAP by utilizing neural networks. This tool is designed to detect nonlinearities, anomalies, and significant variables in loan-level mortgage data, thereby assisting FHFA staff in improving forecasting accuracy for Single-Family models."
Phishing Email Identification,"Knowbe4 PhishER is a machine learning and artificial intelligence-based tool designed to identify and manage suspicious emails by categorizing them as spam, phishing, or malicious. This automation allows for faster responses to end user concerns regarding email threats, eliminating the need for cybersecurity specialists to manually analyze each report. The tool enhances efficiency in handling suspicious emails while safeguarding users from potential cyber threats."
WestLaw,"WestLaw is a generative AI-assisted legal research tool that enhances the efficiency of legal work for FHFA. It utilizes AI technology to search for and summarize legal information, streamlining the research process."
Public Comments Summarization and Topic Classifications Pilot Project,"The Public Comments Summarization and Topic Classifications Pilot Project aims to efficiently summarize and classify public comments received by the FHFA during comment processes. By utilizing natural language processing, the project enhances staff productivity by rapidly processing comments."
Virtual Acquisition Office (VAO) Ally ,"VAO Ally is an integrated feature of the Virtual Acquisition Office subscription that streamlines the process of researching acquisition-related policy and guidance questions. By analyzing various information resources, VAO Ally delivers concise responses to user inquiries and cites the source materials that informed its answers, enhancing efficiency in information retrieval."
"Analytics,, Search, Queries and LLM integration for data management on Oracle","Oracle Enterprise 23AI leverages built-in AI capabilities for predictive analytics, AI Vector search, and natural language queries. It also integrates seamlessly with Large Language Models to enhance data management functionalities. This project aims to optimize data handling and analytics within the Oracle ecosystem."
Python modules to support AI/ML,Several Python modules have been installed to facilitate artificial intelligence and machine learning projects. These modules provide essential tools and libraries for developing and implementing AI/ML solutions.
R modules to support AI/ML,The project involves the installation of various R modules that enhance capabilities for artificial intelligence (AI) and machine learning (ML). These modules provide essential tools and functions to facilitate the development and implementation of AI and ML solutions.
Security and network monitoring using Cisco Identify Services engine,"The project focuses on enhancing security and network monitoring through the Cisco Identity Services Engine (ISE), which utilizes AI to analyze network traffic and user behavior in real-time. This capability facilitates improved security visibility, segmentation, and threat response, allowing for the automatic detection, isolation, and resolution of potential security risks."
Desktop productivity using Microsoft 365,"The project focuses on enhancing desktop productivity through the Microsoft 365 suite, which includes Teams, SharePoint, Excel, PowerPoint, and Word. It leverages AI to provide functionalities such as language translation, smart recommendations, and data insights, ultimately fostering improved collaboration among users."
Virtual Desktop using Citrix ,The project focuses on leveraging Citrix technology to create virtual desktops that utilize AI for performance optimization and workload management. It also enhances security by implementing behavioral analysis and threat detection measures.
"Analytics, Indexing, and Anomaly Detection for Data Management on SQL Server ","The project focuses on enhancing data management in SQL Server through the integration of predictive analytics, automated indexing, and anomaly detection. It leverages AI technologies to improve query performance and streamline data handling processes."
Workflow automation and predictive analytics using ServiceNow,The project focuses on implementing workflow automation and predictive analytics using ServiceNow. It leverages AI to enhance service management solutions by automating processes and delivering actionable insights for improved efficiency.
Security and Compliance in file sharing and collaboration using Kiteworks,Kiteworks improves security and compliance in file sharing and collaboration through real-time detection of anomalies and potential threats. The platform leverages AI technology to enhance its capabilities in safeguarding sensitive information during collaborative processes.
"Network monitoring, anomaly detection through Whats Up Gold and Flowmon integration",The project focuses on network monitoring and anomaly detection by integrating Whats Up Gold with Flowmon. It utilizes AI to enhance network visibility and security by identifying anomalies within network traffic. This integration aims to improve overall network management and response to potential security threats.
Mathematical formula transcription using Commonlook Online,"Commonlook Online is a tool designed to convert complex mathematical formulas into plain language, ensuring accessibility in publicly released documents. This process facilitates better understanding and communication of mathematical content."
Mobile Worker Productivity using Apple iOS platform,"The project focuses on enhancing mobile worker productivity through the utilization of the Apple iOS platform's applications that incorporate Natural Language Processing (NLP). This technology predicts the next word a user intends to type in real time, offering a single tap selection for increased efficiency."
Economic Trend Modeling,"The Economic Trend Modeling project utilizes advanced data beyond traditional statistical approaches to predict economic events. It employs multiple methods to calculate the probability of such events occurring within the next twelve months, resulting in a consolidated probability score ranging from 0 to 1."
Document Organization Tool,The Document Organization Tool is designed to improve the efficiency and organization of reference materials for adversarial analysis. It utilizes labeled documents to enhance searchability and streamline information retrieval.
PDF Optical Character Recognition (Text),The project focuses on implementing Optical Character Recognition (OCR) to extract text from PDF reports. It aims to accurately identify and decide the appropriate column names from the extracted text based on a predefined list of valid column names.
PDF Optical Character Recognition (Images),"The project focuses on developing a system for Optical Character Recognition (OCR) to extract text from images embedded in PDF files. The AI system will convert the image content into a text format, facilitating further analysis of the extracted information."
Stock Market Analysis,The project focuses on analyzing media narratives related to stock market events. It employs time series analysis to examine the correlation between the frequencies of various news topics and market volatility. This research aims to uncover how news coverage impacts stock market behavior.
Earnings Calls Search Tool,The Earnings Calls Search Tool is a Natural Language Processing (NLP) application designed to summarize earnings calls and extract key takeaways. It features an interface that allows users to query different sections of public earnings reports efficiently.
Incident Reporting Pattern Detection,The project focuses on the automatic detection of network-based security risks through incident reporting pattern detection. It aims to identify potential security incidents and generate problem notifications for network administrators to enhance security measures.
Consumer Related Information Classification,"The project focuses on classifying consumer-related information in accordance with relevant regulations. It involves assigning one or more appropriate regulations to each piece of consumer information, ensuring compliance and proper handling of data."
Commercial Real Estate Index,"The project aims to develop a market index for commercial real estate by identifying a principal component through the analysis of various data points. This principal component will serve as the basis for the index, facilitating informed decision-making in the commercial real estate sector."
Variable Optimization,The project focuses on optimizing variable selection by exploring different lag structures to identify the most effective one for predicting call report metrics. This analysis aims to produce accurate forecasts for specific call report metrics.
Credit Fragment Analysis,The Credit Fragment Analysis project involves researching the various components of credit fragments and identifying key observations within the dataset. This analysis aims to enhance the understanding of credit fragmentation and its implications in the financial sector.
Cybersecurity Monitoring Tool,The Cybersecurity Monitoring Tool is designed to monitor emerging cyber risks specifically targeting the financial sector. It employs a risk ranking algorithm that utilizes a dictionary of weighted terms to assess and indicate potential threats to the financial system.
Proposals and Public Comments,"The Board of Governors of the Federal Reserve System is developing the Proposals and Public Comments (PPC) system to electronically manage and process public feedback on various regulatory proposals. The PPC system, expected to launch in mid-November 2024, will utilize artificial intelligence for efficient comment processing, including features like PII redaction and spam detection, with human verification for accuracy."
Graphic design improvements,The project focuses on improving graphic design to enhance the readability of presentations. It includes updates to slide layouts and visualizations for a more effective communication of information.
Bank Subsidiary Identification,The project focuses on identifying auto loans that are reported as subsidiaries of banks. It also aims to pinpoint loans issued by finance company subsidiaries affiliated with these banks. The overarching goal is to enhance the understanding of the banking ecosystem's subsidiary structures in relation to auto lending.
Manufacturer Sentiment Analysis,The Manufacturer Sentiment Analysis project quantifies survey responses about forecasts in industrial production. It utilizes time series data to measure the sentiment of the manufacturing sector based on feedback from survey respondents.
Supply Chain Estimations,The project focuses on estimating supply chain bottlenecks by analyzing time series data related to supply chain bottleneck sentiment. It aims to identify and quantify potential issues within the supply chain to enhance efficiency and decision-making.
Research And Development Analysis,The project focuses on quantifying the intensity of AI research and development within various industries. It aims to create a time series analysis that measures R&D investment levels over time. The findings will provide insights into trends and patterns in AI-related innovations across sectors.
Newsfeed Data Transformations,"The project involves transforming newsfeed data by applying labels that indicate the country of origin and specific topics for various articles. This includes tagging articles with labels for entities, topics, and sentiment analysis to enhance categorization and organization of the content."
Newsfeed Data Processing,"The project focuses on enhancing the processing of news articles through advanced data techniques. It utilizes a dataset that includes entity extraction, topic modeling, and sentiment analysis to facilitate better understanding and categorization of content."
Body Worn Cameras Data Management System,"The Body Worn Cameras Data Management System transcribes and redacts audio recordings, labeling them as ""unverified"" until reviewed and approved by an OIG member. It features automatic detection and redaction of sensitive information, such as computer screens, faces, and license plates, with final approval from a special agent required before sharing evidence. This system ensures the integrity and confidentiality of recorded materials."
Market Fund Portfolio,The Market Fund Portfolio project focuses on aiding the classification of issuers for money market funds. It provides a comprehensive list of potential issuers associated with specific securities to enhance investment decision-making.
Earnings Calls Analysis,"The Earnings Calls Analysis project examines company transcripts to extract key words, terms, and themes. It includes a suite of time series indicators that track the evolution of language and categorize topics over time."
Sentiment Analysis of Earnings Transcripts,"The project focuses on performing sentiment analysis on bank earnings call transcripts to identify and classify sentiments as positive, negative, or neutral. It provides additional insights into the sentiments associated with various topics discussed during these calls. This classification helps in understanding the overall tone and sentiment conveyed in the earnings communication."
Anomaly Detection,The project focuses on enhancing the iterative data quality process through anomaly detection. It aims to generate suggested messages related to the data quality of specific subsets of firm-submitted data by leveraging historical messages that address similar issues. This approach is intended to facilitate better data quality management and consistency.
Consumer Complaints Explorer,"The Consumer Complaints Explorer project aims to enhance the classification of consumer complaints by implementing topic modeling techniques. It analyzes the gamma value, assigns a topic number, and identifies the top five terms related to each narrative for improved categorization. This project facilitates better understanding and management of consumer complaints."
Graphic Design Improvements,The project focuses on enhancing graphic design processes to improve efficiency in image processing. It aims to streamline workflows and optimize the handling of images for better productivity and output quality.
